id,name,imageUrl,code
40dbf5d2-24ba-4894-b90f-4397fe4a53ea,Team Liquid Honda,http://static.lolesports.com/teams/1631820014208_tl-2021-worlds.png,TL
47a8978e-8e16-434c-ba6d-a9e7bb1956ef,LYON,http://static.lolesports.com/teams/1734602870842_logofinallyon-05.png,LYON
683ad629-21a7-4e8f-93a4-7eaeb46056d4,paiN Gaming,http://static.lolesports.com/teams/1674657011011_pain_logo_white.png,PAIN
829e391d-72ec-4ecf-bf11-9d53a2337070,Leviatán Esports,http://static.lolesports.com/teams/1643795049372_LEV-CLAROWhite.png,LEV
a7520418-4986-4870-8c86-7c5acd3f443c,Disguised,http://static.lolesports.com/teams/1731496922454_Disguised-Wordmark-Yellow-Main.png,DSG
1155b4eb-b55e-4cf2-9d66-9476d31db16f,Cloud9 Kia,http://static.lolesports.com/teams/1736924120254_C9Kia_IconBlue_Transparent_2000x2000.png,C9
830090bf-3455-4ef5-a0f5-b6147e0a772c,FURIA,http://static.lolesports.com/teams/FURIA---black.png,FUR
476e41ef-14c4-4dd7-a829-0b889b0916aa,LOUD,http://static.lolesports.com/teams/Logo-LOUD-Esports_Original.png,LOUD
a2432df5-f804-44b4-ab1f-f7f0472e977b,RED Kalunga,http://static.lolesports.com/teams/1631820575924_red-2021-worlds.png,RED
72db290b-b1de-495c-98d8-de58cd5651c6,Fluxo W7M,http://static.lolesports.com/teams/1738138907381_OFFICIALFluxo_W7M_Logo.PNG,FXW7
c175fae2-ab23-4c91-baac-50c366f9f59a,Vivo Keyd Stars,http://static.lolesports.com/teams/1670542079678_vks.png,VKS
e18adcf1-9fd9-482a-8624-58fff9ecfa45,Isurus Estral,http://static.lolesports.com/teams/1733496976364_badge-Color-svg.png,IE
d45bf435-19e0-4e92-8120-dfcd6badfd8e,Shopify Rebellion,http://static.lolesports.com/teams/1701424227458_Teams204_Shopify_1632869404072.png,SR
cf32ee67-1ed0-483e-8c80-9a45a2406ec7,Dignitas,http://static.lolesports.com/teams/DIG-FullonDark.png,DIG
848fdaaf-589a-4e94-b3dc-90299584db0b,FlyQuest,http://static.lolesports.com/teams/flyquest-new-on-dark.png,FLY
95e2c264-b4c6-435d-9699-397ccf3df180,100 Thieves,http://static.lolesports.com/teams/1631819887423_100t-2021-worlds.png,100T
