proPlayerId,playerName,averageRoundScore,maxRoundScore,minRoundScore,lastRoundScore,lastRoundPrice
75bb14b4-8430-401f-b73b-87c8a8c0af38,Disamis,19.858888888888888,26.055,11.646666666666667,11.646666666666667,12.2
728578de-d384-40d7-9008-22dbb71806d3,Saint,14.60388888888889,25.91,3.7466666666666666,3.7466666666666666,9.3
68896c24-6e9a-4965-af34-c702d8827ac7,Kisee,20.38,31.005,12.81,12.81,11.9
1f221bb6-145c-4f20-9dff-a83e8fd49ed2,DOOM,15.180000000000001,21.6,8.440000000000001,8.440000000000001,9.2
5a2e6a51-614e-46d6-a6a9-9b56656bfa54,Vulcan,21.907777777777778,27.80333333333333,15.77,27.80333333333333,14.6
7bfe2036-c781-4239-a8a0-1270527e2dae,Trymbi,19.270555555555557,21.71,15.416666666666666,15.416666666666666,11.2
5bb085f8-f5dc-4537-8318-dab4b866cb6f,Kuri,19.32777777777778,23.255000000000003,15.455,19.273333333333333,13.3
aba985dc-5036-4b4d-baec-1113cd4dbeb0,Summit,8.868333333333332,11.506666666666666,6.23,11.506666666666666,6.5
d8ac82c7-d791-4732-86c8-a8118b8096dd,Fuuu,17.595555555555556,24.655,6.446666666666666,6.446666666666666,9.8
b819d7d6-b955-43bb-addd-7073835c7958,SCARY,13.041111111111112,18.463333333333335,3.53,18.463333333333335,10.0
e9efbc14-d2ac-4815-8b69-c672132e5620,Sheiden,11.601666666666665,18.849999999999998,5.435,18.849999999999998,7.6
c8642a8d-ef37-48d3-8cdf-a2cff1a7762a,Shini,15.153333333333334,21.7,6.0200000000000005,21.7,9.9
f948f864-e0b3-42a6-84a4-0b299460a17e,Guigo,16.83277777777778,22.213333333333335,11.905,22.213333333333335,12.4
96830fde-b650-4a3d-bca0-71a34f163f38,Wiz,,,,,
41e552f5-e58d-4e11-9e3e-e10a279af8b2,Mago,13.054444444444442,14.533333333333333,12.165,14.533333333333333,8.7
eeaf2848-0e3f-4a52-97d5-4f9ae9be5a2c,Boal,16.312777777777775,20.479999999999997,13.01333333333333,13.01333333333333,9.8
1ac1f17b-4cd5-4227-9da3-49ffe726a3c5,Ceos,8.166666666666666,15.839999999999998,0.375,15.839999999999998,6.3
3d069aeb-9508-4c56-a390-b6dda95527c4,Quad,21.56888888888889,27.935000000000002,17.195,19.576666666666664,14.4
5fd6d733-cabc-4603-8222-095065333e02,Luuukz,,,,,
d04c0d8f-c618-4536-a8c4-d80f822306cc,Bvoy,15.15,17.5,12.53,15.420000000000002,9.7
4cce3077-b9b4-45d7-9f12-4cb74b272196,Isles,13.265,19.83,7.795,19.83,8.8
f3563287-59b0-40a6-9251-5d23b730a66f,zynts,,,,,
dd62c243-55ca-45ec-b536-90c5e24db6ce,ceo,11.75277777777778,16.98,2.285,15.993333333333334,9.2
95fbe27d-8294-4098-974f-6fe4847f2148,Hidan,9.313333333333334,12.435,5.75,5.75,5.7
0080abb2-552f-41e5-84ac-3402b1d1a671,Burdol,,,2.555,,7.0
c587db65-e3da-49e6-81c1-2cc9bcd71cb2,Brance,17.907777777777778,20.990000000000002,13.383333333333333,13.383333333333333,13.0
35a4dc04-9766-48c5-8f9f-e5a8f264734c,Hena,15.00722222222222,20.84,5.976666666666667,5.976666666666667,9.1
48c588fd-35f6-4f4b-a7aa-90d6b15a607f,Loki ,24.124444444444446,29.044999999999998,15.504999999999999,27.823333333333334,15.1
789c27b4-ae49-4182-b529-6aced2e84830,Robo,14.801111111111112,17.313333333333333,13.435,17.313333333333333,10.6
a0b27a33-2bab-400f-8499-d5ec914dd0f1,ScaryJerry,9.163333333333334,14.595,6.080000000000001,6.080000000000001,5.9
c643e2c1-94c7-4c6e-afd4-1389ad5bcdb9,Bwipo,23.505555555555556,29.71,19.406666666666666,19.406666666666666,15.3
bdb4f785-38d6-428e-b6ea-f09924c43129,Massu,17.262777777777774,21.7,13.065,17.02333333333333,11.6
58165fa8-10c9-4a4e-8850-d796a510b2f8,Oddielan,14.651111111111112,19.77,5.323333333333333,5.323333333333333,8.6
a3650631-5b35-4067-b4f6-833c0a5a2326,cody,16.017222222222223,26.10666666666667,5.515,26.10666666666667,13.1
f816aaa5-3310-4b52-9929-a8c94bcca72b,Lyonz,17.591111111111108,23.564999999999998,7.433333333333333,7.433333333333333,9.9
eb1c7f89-eeb7-42aa-b224-41876f739288,eXyu,5.789444444444444,8.280000000000001,3.3449999999999998,5.743333333333333,4.6
34e9d678-3765-458d-b263-b53c48e85034,ProDelta,10.708888888888888,15.866666666666667,2.245,15.866666666666667,8.7
0da01860-823a-43a5-9359-d76fa47792e6,Srtty,7.213888888888889,11.526666666666666,3.4,11.526666666666666,5.1
0af65ad9-72fd-45cb-999f-2fb84b1f17a5,Ganks ,10.259444444444446,15.670000000000002,7.113333333333333,7.113333333333333,6.6
c4815466-b1f8-4f84-953e-1c7a33ef4da6,Mireu,10.316666666666668,18.115000000000002,1.9449999999999998,10.89,8.3
126a414a-52a9-4289-91f3-5370c312d825,Zven,24.869444444444444,33.435,19.56,21.613333333333333,15.7
2b7135a1-9a5a-49a5-bed3-005df822d543,Tomo,12.86888888888889,17.386666666666667,6.895,17.386666666666667,8.8
c3cba919-434e-4e95-a790-ffd303de6994,CarioK,24.151666666666667,26.869999999999997,19.615000000000002,25.97,15.8
fe116c78-3595-4103-b888-c43a56f0a260,UmTi,15.009444444444446,16.35,13.543333333333331,13.543333333333331,10.5
41bfb625-f1b0-4cc7-9284-c4724063e544,Wizer,22.867777777777775,32.615,17.073333333333334,17.073333333333334,14.0
7333b8ee-715a-463a-9012-43b9a219ac58,Rabelo,,,,,
c893e0a1-e7ac-486d-bb78-8a5d45173057,Roamer,15.17111111111111,18.134999999999998,10.295,17.083333333333332,9.9
ad1d3cd7-b135-4063-9230-529d64631ffb,Yeon,14.10388888888889,15.495000000000001,13.106666666666667,13.106666666666667,10.4
aa8db8ec-4e94-4cd5-9a91-275fbe122727,Inspired,22.427777777777777,24.14,20.713333333333335,20.713333333333335,14.6
36458f54-5b8a-4ea9-96c0-6a141fba61d2,JoJo,19.04611111111111,21.9,17.544999999999998,17.69333333333333,11.9
64124525-7371-441e-8d57-66d8563d9d29,Impact,10.953888888888889,14.73,8.936666666666667,8.936666666666667,8.0
244d03da-f31c-4261-a5a2-0c161073202d,tinowns,14.009444444444446,20.653333333333332,7.265000000000001,20.653333333333332,11.0
2655534d-41af-45eb-9588-c95d774d6395,fNb,15.685000000000002,21.07,11.440000000000001,21.07,11.5
89cd186d-7ba4-44e4-9f69-caaa0b1c859a,Josedeodo,8.56,15.780000000000001,2.28,15.780000000000001,8.2
95c6d0e4-5447-49bf-a91d-a95c7e13ae24,Contractz,13.028888888888888,21.055,1.715,16.316666666666666,8.3
ef3066b1-6975-4cbb-a1a9-001fbca927b6,Fudge,10.727777777777776,12.883333333333333,9.65,12.883333333333333,7.2
5051003b-a465-42b8-ab18-5765d5668348,APA,11.943333333333333,14.434999999999999,9.705,11.69,9.0
d163b755-9581-4bcb-92c8-f5a9c03e914b,River,18.44111111111111,23.063333333333333,14.08,23.063333333333333,13.2
a3a63553-6f7e-41a3-8d18-8d01c1a98042,Lira,,,,,
1a3b4ead-7f50-4a9b-8a52-e03fd3b1834d,bieLzera,,,,,
d133f390-cbca-4fc9-990a-1698add0efcb,Quid,20.608333333333334,21.875,18.2,21.75,14.9
f430d156-3df5-484f-8fcc-6b948efd1216,Castle,5.546666666666667,9.34,2.185,9.34,5.9
3005d52b-b546-4654-9e75-fe779572258d,Route,16.692777777777778,24.823333333333334,9.12,24.823333333333334,12.2
f29d20af-2ba6-4f4f-8b2c-e40705a65977,Sniper,14.991666666666669,18.220000000000002,10.73,18.220000000000002,9.9
752c770b-7cfa-4ceb-9cbb-cd75e3f86772,uZent,,,,,
cafdb5d6-31c1-431c-95ba-488bc87d60f1,CoreJJ,15.110555555555557,17.34,11.056666666666667,11.056666666666667,10.5
19898d63-2461-4436-b81e-52e4ef1c9a53,Tutsz,18.53333333333333,20.955,17.064999999999998,17.580000000000002,11.2
4422bc32-4b72-4eeb-afc0-76ce0946d4bb,Blaber,16.834999999999997,23.795,8.11,18.599999999999998,11.6
500822a5-f552-44e6-9a69-ecdbb2075356,Ackerman,12.594999999999999,16.22,8.96,16.22,9.6
7902cefc-ea05-40fe-91db-6621e8f9a13a,Guigs,10.298888888888888,12.149999999999999,8.006666666666666,8.006666666666666,6.3
d8b82dd9-bf49-4076-8add-a7c443d42aa5,frosty,17.87666666666667,21.075,13.855,18.700000000000003,12.1
e739c075-d89c-4c86-9185-e1c516e64af2,Busio,21.793333333333333,26.085,17.655,21.64,13.4
842f1251-5857-4c1a-a24f-28bccb5e6008,TitaN,16.81888888888889,24.156666666666666,8.415000000000001,24.156666666666666,12.8
4c0fae65-cec9-43d3-ae06-c54593264623,Licorice,10.956666666666669,14.17,4.88,4.88,6.3
ae617a87-f55d-4f0d-99fb-cf74b7a1aa59,Aegis,,,0.0,26.85,13.5
10855934-df24-45ba-9d94-0bde543cc154,Morttheus,20.25777777777778,33.585,11.883333333333333,11.883333333333333,12.2
5dfe05bf-d04f-4d10-baa0-abcc8c44916b,FBI,19.458333333333332,21.37,17.415,19.59,13.7
6a299d54-0628-49df-87f7-2f3473b41b15,Winsome,,,,,
d21596b1-3cfc-4eaf-a15f-910e7f4f5e88,RedBert,14.808888888888887,21.97666666666667,6.285,21.97666666666667,9.7
72bc17f3-6be0-406b-99d5-a81186829c51,huhi,6.341666666666666,10.76,3.1149999999999998,10.76,5.2
7cf2a890-7c07-46b1-af4f-5cfff67e4728,Thanatos,16.502777777777776,20.455,9.83,19.223333333333333,10.5
3f0fbcc9-0ad5-41c1-af28-35aa47117f36,Palafox,12.942222222222222,21.636666666666667,7.795,21.636666666666667,9.0
9a35f635-7437-4b2f-a9c3-5e7b04c6ceae,Marvin,9.866666666666665,12.535,6.359999999999999,6.359999999999999,6.6
27450c86-59e3-4ac3-8ac1-87689d65fca7,Grevthar,,,,,
8ff411c6-f715-4bff-9a12-406d19f2fffd,Eyla,20.24,25.16,14.094999999999999,25.16,13.4
d3034265-e29a-4ba3-91cc-a69f20af0cb0,Ayu,23.331111111111113,26.65,19.82,23.523333333333337,14.5
33ddb3c3-f2f1-4dae-bf05-62a2ed41e927,Zothve,14.672222222222222,17.32,13.3,13.396666666666667,9.4
9f17942a-1f46-4d19-93bb-0cd1d2aa6003,dyNquedo,,,,,
10215def-6901-4d5b-8c2a-f3e0e89e8e53,Keine,10.77833333333333,18.82,4.955,18.82,8.0
e1d3693e-ae0f-4b07-9ad2-d9e24297994f,Tatu,23.212222222222223,25.78,18.8,25.05666666666667,14.7
262ca257-121f-45fd-9760-989b8625a03e,Abbedagge,9.518333333333333,10.125,9.190000000000001,9.24,6.4
137d0eb7-369e-41b8-b199-d4128a3254ac,Snaker,9.336666666666668,17.76,1.985,17.76,7.6
